Resume_ID,Resume_Text,Job_Description,Suitability_Score,Years_Experience,Education,Industry,Location,Hired
1,"Experienced software engineer with expertise in Python and Java. Developed web applications and databases. Proficient in Agile methodologies.", "Software Engineer: Develop and maintain web applications. Experience with Python and Java required.", 4, 5, "Bachelor's in Computer Science", "Technology", "San Francisco", 1
2,"Marketing professional with strong communication and social media skills. Managed campaigns and increased brand awareness.", "Marketing Manager: Lead social media campaigns and develop marketing strategies. Experience in digital marketing required.", 3, 3, "Bachelor's in Marketing", "Marketing", "New York", 0
3,"Data scientist with experience in machine learning and data analysis. Proficient in Python and R.", "Data Scientist: Develop machine learning models and analyze data. Experience with Python and R required.", 5, 7, "Master's in Data Science", "Technology", "Seattle", 1
4,"Customer service representative with excellent communication skills. Resolved customer issues and provided support.", "Customer Service Representative: Provide customer support and resolve issues. Excellent communication skills required.", 2, 2, "High School Diploma", "Customer Service", "Chicago", 1
5,"Project manager with experience in leading cross-functional teams. Managed projects and ensured timely delivery.", "Project Manager: Lead project teams and manage project timelines. Experience in project management required.", 4, 6, "Bachelor's in Business Administration", "Management", "Austin", 1
6,"Junior web developer with knowledge of HTML, CSS, and JavaScript. Built responsive websites.", "Junior Web Developer: Develop and maintain websites. Knowledge of HTML, CSS, and JavaScript required.", 3, 1, "Associate's Degree in Web Development", "Technology", "Los Angeles", 0
7,"Sales representative with proven track record of exceeding sales targets. Built strong client relationships.", "Sales Representative: Generate leads and close sales. Experience in sales required.", 4, 4, "Bachelor's in Business", "Sales", "Dallas", 1
8,"Financial analyst with experience in financial modeling and analysis. Proficient in Excel and financial software.", "Financial Analyst: Analyze financial data and develop financial models. Experience in finance required.", 5, 8, "Master's in Finance", "Finance", "Boston", 1
9,"HR generalist with experience in recruitment and employee relations. Managed employee onboarding and performance management.", "HR Generalist: Manage recruitment and employee relations. Experience in HR required.", 3, 3, "Bachelor's in Human Resources", "Human Resources", "Miami", 0
10,"Graphic designer with expertise in Adobe Creative Suite. Created visual designs for marketing materials.", "Graphic Designer: Create visual designs for marketing materials. Proficiency in Adobe Creative Suite required.", 4, 5, "Bachelor's in Graphic Design", "Design", "Denver",1